FECHA,DISTRITO,TEMPERATURA,PRECIPITACION,VIENTO,CÓDIGO,DIRECCION,Codigo Postal
2024-01-14,103,4.6,1.6,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-15,103,9.2,3.8,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-16,103,10.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-17,103,9.0,8.9,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-18,103,9.0,0.4,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-19,103,4.6,30.2,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-20,103,4.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-21,103,5.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-22,103,3.4,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-23,103,6.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-24,103,8.0,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-25,103,7.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-26,103,8.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-27,103,8.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-28,103,7.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-29,103,7.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-30,103,5.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-01-31,103,4.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-01,103,6.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-02,103,6.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-03,103,6.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-04,103,6.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-05,103,5.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-06,103,6.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-07,103,6.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-08,103,7.3,0.4,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-09,103,7.3,10.7,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-10,103,5.7,0.2,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-11,103,3.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-12,103,7.3,0.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-13,103,9.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-21,103,7.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-22,103,8.2,3.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-23,103,4.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-24,103,4.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-25,103,7.2,0.4,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-26,103,6.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-27,103,5.4,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-28,103,6.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-02-29,103,5.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-01,103,5.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-02,103,4.0,9.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-03,103,4.0,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-04,103,6.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-05,103,7.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-06,103,6.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-07,103,5.3,4.5,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-08,103,4.7,8.7,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-09,103,3.7,5.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-10,103,5.6,3.6,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-11,103,7.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-12,103,7.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-13,103,9.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-14,103,8.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-15,103,10.0,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-16,103,10.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-17,103,12.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-18,103,12.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-19,103,14.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-20,103,14.3,0.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-21,103,15.6,0.1,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-22,103,16.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-23,103,15.0,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-24,103,14.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-25,103,9.9,1.4,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-26,103,4.1,3.9,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-27,103,6.6,2.2,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-28,103,8.4,12.4,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-29,103,5.2,5.5,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-30,103,5.3,6.8,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-03-31,103,4.6,7.7,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-01,103,5.7,3.8,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-02,103,7.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-03,103,10.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-04,103,11.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-05,103,13.8,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-06,103,16.4,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-07,103,15.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-08,103,11.0,0.5,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-09,103,8.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-10,103,11.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-11,103,16.2,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-12,103,15.4,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-13,103,16.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-14,103,16.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-15,103,18.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-16,103,16.6,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-17,103,13.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-18,103,13.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-19,103,12.5,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-20,103,15.4,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-21,103,14.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-22,103,10.9,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-23,103,9.1,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-24,103,9.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-25,103,10.7,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
2024-04-26,103,10.3,0.0,False,28079103,"C/ Arroyo Bueno, 53",28026
